marca;modelo;year
Chevrolet;Tahoe Z71;2021
Acura;MDX 3.5L w/Advance Package;2017
Toyota;RAV4 Sport;2007
Chevrolet;Suburban 1500 LT;2015
Ford;F-150 XLT;2016
Acura;MDX 3.5L w/Technology Package;2020
Toyota;Tundra SR5;2019
Cadillac;Escalade Sport;2021
Chrysler;300 S;2020
Honda;Civic LX;2018
Mercedes-Benz;SL-Class SL 550;2013
INFINITI;QX60 Pure;2020
BMW;X5 xDrive40i;2019
Kia;Sorento SX;2012
Ford;Taurus SES;2003
Lexus;RX 350 Base;2020
Kia;Sorento LX;2020
Lexus;LS 460 Base;2010
Chevrolet;Silverado 1500 Custom;2019
BMW;328 i;2015
Porsche;Macan GTS;2021
Land;Rover Range Rover Sport HSE Silver Edition;2021
BMW;320 320i xDrive;2018
BMW;540 i;2002
Mazda;Mazda3 AWD w/Preferred Package;2019
Genesis;G80 3.8;2019
Tesla;Model Y Long Range;2020
Toyota;Highlander Base Plus;2013
Jeep;Grand Cherokee Altitude;2019
Acura;MDX 3.5L;2020
BMW;M3 Base;2017
Toyota;Tacoma SR;2020
Tesla;Model Y Long Range;2021
Porsche;Boxster S;2013
Mazda;Mazda6 s Grand Touring;2010
Toyota;4Runner Limited;2018
Subaru;Forester;2019
Cadillac;XT5 Premium Luxury;2018
BMW;X3 sDrive30i;2019
Toyota;4Runner Limited;2012
Honda;Civic EX-T;2018
Toyota;Corolla SE;2020
Ford;Expedition Max Limited;2020
Honda;Pilot Elite;2022
Subaru;Forester 2.5i;2014
Ford;Edge Titanium;2020
Chevrolet;Silverado 1500 RST;2019
Lexus;RX 450hL Base;2020
Subaru;Forester Premium;2021
Volvo;XC60 T5 Inscription;2019
Volvo;XC40 T5 R-Design;2019
BMW;X5 sDrive40i;2020
Mazda;CX-5 Grand Touring;2019
Toyota;4Runner Limited;2019
BMW;M850 i xDrive;2019
Dodge;Challenger SXT;2020
Tesla;Model 3 Performance;2021
Hyundai;Santa Fe Limited Ultimate;2018
Ford;F-150 XLT;2019
BMW;330 i xDrive;2019
Honda;CR-V EX;2019
Toyota;4Runner Trail Premium;2016
Subaru;Impreza 2.0i;2017
Toyota;Highlander Base;2004
Lexus;RX 300;2003
Honda;CR-V EX-L;2019
Toyota;4Runner SR5;2019
BMW;X7 xDrive50i;2019
Mercedes-Benz;S-Class S 550 4MATIC;2008
Acura;TLX FWD;2020
Toyota;RAV4 XLE;2018
Honda;Accord EX-L 1.5T;2019
Mercedes-Benz;GLE 350 Base 4MATIC;2020
BMW;330 i;2019
BMW;X3 M40i;2019
Audi;Q3 45 S line Premium;2021
Mercedes-Benz;GLC 300 Base 4MATIC;2019
BMW;X5 PHEV xDrive45e;2021
Audi;S5 3.0T Prestige;2018
Honda;Pilot EX-L;2019
Chevrolet;Spark LS;2020
Hyundai;Elantra SE;2019
Mercedes-Benz;S-Class S 550 4MATIC;2012
Nissan;Frontier PRO-4X;2020
Honda;Accord EX-L 1.5T;2018
Jeep;Grand Cherokee Limited;2019
BMW;128 128i;2010
Lexus;LS 430 Base (A6);2004
Audi;A7 3.0T Prestige;2016
Mazda;Mazda6 Sport;2020
Hyundai;Sonata Hybrid SE;2016
Alfa;Romeo Giulia Ti;2017
Mercedes-Benz;CLA 250 Base;2019
Toyota;Corolla LE;2017
Acura;MDX 3.5L w/Technology Package;2016
Honda;Civic LX;2019
Lexus;RX 350 Base (A5);2008
Acura;ILX Premium & A-SPEC Packages;2020
Toyota;Highlander Limited w/3rd Row;2006
BMW;M550 i Xdrive;2019
BMW;M4 Base;2020
Volkswagen;Tiguan 2.0T SE;2019
Cadillac;XT6 Premium Luxury AWD;2021
Chevrolet;Blazer Premier;2020
Porsche;911 Targa 4;2012
Mercedes-Benz;C-Class C 300;2019
Mercedes-Benz;E-Class E 400;2015
Audi;A3 2.0T Prestige;2018
Jeep;Grand Cherokee Limited;2017
Subaru;Outback 2.5i Limited;2018
Porsche;Cayenne S;2015
BMW;X5 xDrive40i;2020
Lexus;RX 350 Base;2012
Buick;LaCrosse Premium;2017
Cadillac;XT5 Luxury;2017
BMW;X3 xDrive30i;2018
Tesla;Model Y Performance;2021
INFINITI;QX50 ESSENTIAL;2019
Mazda;Mazda3 FWD w/Preferred Package;2021
Kia;Forte FE;2021
Nissan;Murano SL;2018
Chevrolet;Corvette Stingray Z51;2016
Lincoln;MKZ Select;2018
Mercedes-Benz;AMG GLE 43 4MATIC Coupe;2019
Ford;F-150 Lariat;2021
Volkswagen;Arteon 2.0T SEL Premium R-Line;2019
Honda;Accord LX;2017
Dodge;Charger SXT;2021
Mercedes-Benz;AMG C 43 Base 4MATIC;2019
Acura;RDX Base;2019
Audi;Q5 45 Premium;2021
Acura;MDX 3.5L Technology & A-Spec Pkgs;2020
Volvo;XC90 T6 Momentum;2016
INFINITI;QX80 Luxe;2019
Honda;Accord LX;2018
Acura;MDX 3.5L;2015
Audi;Q8 3.0T Premium;2019
Nissan;Maxima 3.5 S;2017
Chevrolet;Trax LS;2017
Kia;Telluride SX;2020
Hyundai;Santa Fe Limited 2.0T;2020
Ford;Mustang EcoBoost Premium;2018
Chrysler;Crossfire SRT-6;2005
Mercedes-Benz;GLA 250 Base;2021
Porsche;Boxster;2010
FIAT;500L Easy;2014
Honda;Civic LX;2015
Honda;Civic LX;2017
Lexus;GX 460 Base;2020
Porsche;Macan S;2019
Mercedes-Benz;GLE 350 Base 4MATIC;2018
Honda;Pilot Elite;2017
BMW;428 i xDrive;2015
Lexus;RX 350 Base;2008
Toyota;Camry XSE;2019
Audi;A4 2.0T Premium;2019
BMW;X5 xDrive35i;2017
Kia;Telluride SX;2021
Mercedes-Benz;GLC 300 Base 4MATIC;2020
Toyota;4Runner Limited;2015
GMC;Yukon Denali;2021
Ford;F-150 XL;2018
Mazda;CX-9 Carbon Edition;2021
Chevrolet;Equinox Premier;2017
Lexus;RX 350 350;2017
BMW;X7 xDrive40i;2020
Ford;Edge Sport;2020
Lincoln;Aviator Reserve AWD;2020
Subaru;Crosstrek 2.0i Premium;2016
Subaru;Crosstrek 2.0i Limited;2018
Audi;Q5 45 Prestige;2020
Volvo;V90 Cross Country T5;2018
Honda;Accord EX-L;2014
Nissan;Murano SL;2011
Toyota;4Runner Nightshade;2021
Hyundai;Elantra SEL;2018
Porsche;Cayenne Base;2018
Honda;HR-V LX;2018
Subaru;Forester 2.5i Limited;2018
Ford;Edge ST;2020
Hyundai;Palisade Limited;2020
Nissan;Rogue SL;2020
Buick;Encore Preferred;2019
Jeep;Grand Cherokee Limited;2018
Toyota;RAV4 Hybrid XLE;2018
Cadillac;XT4 Sport;2019
Kia;Soul +;2013
Acura;TLX Tech;2015
Acura;RDX Advance Package;2021
Honda;CR-V Hybrid Touring;2020
Tesla;Model 3 Standard Range Plus;2019
Toyota;Highlander Limited Platinum;2016
Chevrolet;Equinox 1LT;2020
INFINITI;QX30 Premium;2018
Mercedes-Benz;GLS 450 GLS 450;2019
Land;Rover Range Rover Evoque SE;2020
Acura;MDX Base;2022
Acura;TLX A-Spec;2020
Toyota;Highlander Hybrid Limited;2021
Nissan;Rogue Sport S;2020
Lexus;ES 300 Base (A5);2003
Buick;Enclave 2XL;2010
RAM;1500 Big Horn;2021
Tesla;Model 3 Performance;2020
Lincoln;Aviator Black Label AWD;2020
BMW;328 i xDrive;2015
Chevrolet;Tahoe LT;2019
Toyota;Highlander SE;2013
Mazda;CX-5 Grand Touring;2021
Mercedes-Benz;GLS 450 Base 4MATIC;2019
Land;Rover Range Rover Sport Supercharged HSE;2014
Lincoln;MKZ Base;2014
Mercedes-Benz;GLA 250 Base;2020
Toyota;Tacoma SR5;2021
Acura;ILX w/AcuraWatch Plus;2017
Toyota;Prius Three;2013
Lexus;GX 460 460;2013
Dodge;Charger R/T Scat Pack;2016
Mercedes-Benz;E-Class E 300 4MATIC;2017
Acura;TLX V6;2020
Acura;TLX V6 Advance;2015
Dodge;Durango GT;2020
Jeep;Grand Cherokee Limited;2004
BMW;740 i;2020
Audi;Q8 55 Premium;2021
BMW;X3 xDrive30i;2019
Tesla;Model S 75D;2018
Subaru;XV Crosstrek 2.0i Premium;2014
BMW;X3 xDrive30i;2020
BMW;X3 xDrive28i;2017
Kia;Sorento SX;2017
Land;Rover Discovery HSE;2019
BMW;X3 sDrive30i;2020
Mercedes-Benz;GLE 350;2021
BMW;750 i xDrive;2020
Lexus;GS 350 F Sport;2017
Toyota;Highlander Limited;2021
Subaru;Outback 2.5i Limited;2019
Land;Rover Range Rover SV Autobiography Dynamic;2019
Toyota;Highlander Limited;2018
INFINITI;QX60 Luxe;2019
Honda;Passport EX-L;2020
Toyota;RAV4 Limited;2018
Mazda;Mazda3 i SV;2014
Kia;Stinger GT2;2020
Audi;A6 55 Premium Plus;2021
Ford;Mustang GT;2020
Tesla;Model 3 Performance;2019
Ford;Fusion Hybrid Titanium;2020
Dodge;Durango GT;2018
Toyota;4Runner Limited;2016
Mercedes-Benz;C-Class C 300;2018
Jeep;Wrangler Unlimited Sahara;2018
Subaru;Forester 2.5i Touring;2016
Chevrolet;Equinox Premier w/1LZ;2019
Volkswagen;Jetta 1.4T S;2019
Ford;Mustang GT;2016
Ford;Focus RS Base;2017
Honda;Pilot EX-L;2021
Alfa;Romeo Stelvio Base;2018
Jaguar;F-TYPE S;2016
Ford;EcoSport S;2020
Nissan;Murano SL;2019
Ford;F-150 XLT SuperCrew;2004
Audi;RS 5 2.9T;2019
BMW;X3 xDrive28i;2013
Volkswagen;Golf TSI S 2-Door;2015
Toyota;Avalon XSE;2020
Lexus;RX 350 350;2019
Honda;Accord Touring 2.0T;2018
GMC;Sierra 1500 Elevation;2020
Volkswagen;Jetta SE;2011
Volkswagen;Tiguan SE;2012
BMW;X3 xDrive28i;2016
Toyota;Corolla SE;2019
MINI;Convertible Cooper;2019
Audi;Q5 45 Premium;2020
Mazda;Mazda3 Sport;2018
Alfa;Romeo Stelvio Ti Sport;2019
Kia;Sorento LX;2017
Audi;Q5 2.0T Premium Plus;2018
Audi;A6 55 Premium Plus;2019
BMW;X1 sDrive28i;2019
Lexus;NX 200t Base;2016
Ford;Explorer XLT;2021
Jeep;Cherokee Trailhawk;2014
Dodge;Charger SRT 392;2017
Ford;F-150 Lariat;2016
Hyundai;Veloster Turbo;2016
Toyota;Sienna XSE 7 Passenger;2021
Lincoln;MKZ Hybrid Reserve;2017
Toyota;RAV4 LE;2019
Ford;Explorer Limited;2016
Chevrolet;Equinox LT;2017
Mazda;CX-9 Touring;2019
Subaru;Impreza 2.0i Sport;2019
Subaru;Forester 2.5i Premium;2017
Audi;A6 2.0T Premium Plus quattro;2013
Volvo;XC60 T6 Dynamic;2017
Jeep;Grand Cherokee 80th Anniversary;2021
Toyota;Camry LE;2010
Toyota;Highlander Limited;2016
Ford;F-150 Raptor;2019
Toyota;4Runner SR5 Premium;2016
Mercedes-Benz;C-Class C 300 4MATIC;2019
Toyota;RAV4 Limited;2015
Audi;SQ5 3.0T Premium;2019
Lexus;IS 300 Base;2016
Mercedes-Benz;GLS 450 Base 4MATIC;2018
Lexus;NX 300 Base;2021
Lincoln;MKZ Reserve I;2019
Toyota;RAV4 Hybrid Limited;2018
BMW;M340 i;2020
Honda;Accord EX-L;2018
Cadillac;XT5 Luxury;2019
Mercedes-Benz;AMG GLC 43 Base 4MATIC;2020
Lexus;RX 350;2019
Mercedes-Benz;C-Class C 300 4MATIC;2018
Toyota;Camry LE;2005
Nissan;Maxima 3.5 SV;2011
Honda;CR-V EX-L;2021
Tesla;Model 3 Long Range;2022
Volvo;XC60 T6;2015
Alfa;Romeo Stelvio Ti;2019
Audi;SQ5 Premium Plus;2019
Toyota;Tacoma;2021
Land;Rover Range Rover Velar P380 S;2018
Audi;Q7 55 Premium Plus;2021
Cadillac;XT4 Premium Luxury;2019
Honda;Ridgeline RTL-E;2019
Dodge;Durango R/T;2018
Lamborghini;Urus;2020
BMW;435 i;2015
Mercedes-Benz;GLE 350 4MATIC;2020
Audi;S4 3.0T Premium Plus;2018
Toyota;Supra 3.0;2020
Audi;Q5 2.0T Premium Plus;2014
Porsche;Macan S;2020
Cadillac;XT5 Premium Luxury;2020
Maserati;Levante S;2017
Ford;F-150 Lariat;2020
Lexus;ES 350 Base;2021
Mercedes-Benz;GLE 350 Base;2018
Hyundai;Santa Fe Ultimate 2.0T;2019
Nissan;Murano Platinum;2017
Honda;Accord EX-L;2020
Mercedes-Benz;GLK-Class GLK 350;2015
Volvo;XC60 T5 Momentum;2020
Lincoln;Navigator Reserve;2019
Dodge;Charger Scat Pack;2021
Toyota;RAV4 LE;2018
Land;Rover Range Rover Westminster;2021
Jeep;Cherokee Limited;2020
Chevrolet;Suburban LT;2020
GMC;Yukon SLT;2020
BMW;X5 sDrive35i;2018
Mercedes-Benz;GLS 450 Base 4MATIC;2017
Mercedes-Benz;E-Class E 350 4MATIC;2020
Lexus;RX 350 350;2018
Volvo;XC40 T5 Momentum;2020
Hyundai;Elantra SEL;2020
Honda;CR-V Touring;2017
Nissan;Murano Platinum;2020
Jeep;Grand Cherokee Trailhawk;2018
GMC;Acadia Denali;2021
Land;Rover Range Rover Velar P250 SE R-Dynamic;2019
Nissan;Frontier S;2018
GMC;Yukon XL Denali;2021
Lincoln;Navigator L Select;2017
Audi;Q5 2.0T Premium Plus;2019
BMW;X1 xDrive28i;2018
Toyota;Tundra;2021
Audi;Q5 Premium;2021
Jeep;Cherokee Limited;2019
Land;Rover Range Rover Velar S;2020
Kia;Sportage LX;2020
Audi;Q7 45 Premium;2021
Volvo;S60 T6 Momentum;2019
Acura;RDX Technology Package;2018
Audi;Q5 3.0T Premium Plus;2014
Nissan;Rogue S;2020
Ford;Edge Titanium;2018
BMW;X5 M50i;2020
BMW;328 i xDrive;2011
Honda;Passport EX-L;2021
BMW;X3 M40i;2018
Subaru;Ascent Premium 8-Passenger;2019
Toyota;Mirai Base;2019
Mercedes-Benz;C-Class C 300;2020
Toyota;RAV4 LE;2020
Toyota;Prius Four;2017
Mercedes-Benz;E-Class E 63 AMG S-Model 4MATIC;2015
Mercedes-Benz;GL-Class GL 450 4MATIC;2015
Toyota;RAV4 Limited;2017
Tesla;Model X Long Range;2020
Land;Rover Range Rover Velar P250 S;2019
Lexus;RX 350 RX 350;2019
Mitsubishi;Outlander Sport 2.0 ES;2021
Volvo;XC60 T6 Momentum;2018
Volvo;XC60 T6 Momentum;2019
Subaru;Ascent Limited 8-Passenger;2019
Mercedes-Benz;AMG G 63 Base;2017
Ford;Edge Titanium;2019
Chevrolet;Trax LS;2019
Lexus;GX 460 Base;2018
Jaguar;F-PACE 30t Prestige;2019
Audi;A7 3.0T Prestige;2019
Subaru;Outback 2.5i Premium;2018
Lexus;RX 350L L;2018
Nissan;Rogue SL;2017
Mercedes-Benz;GLS 580 Base 4MATIC;2021
Jaguar;E-PACE SE;2020
RAM;1500 Laramie;2020
Jeep;Grand Cherokee Limited;2014
BMW;Z4 sDrive35i;2014
Tesla;Model 3 Long Range;2019
Land;Rover Defender 110 HSE;2020
BMW;X4 xDrive30i;2021
Lexus;RX 350;2018
Lincoln;Corsair Reserve;2020
Chevrolet;Corvette Stingray;2015
Toyota;RAV4 LE;2021
GMC;Sierra 1500 Denali;2016
Honda;Accord Sport;2019
Cadillac;XT5 Premium Luxury;2019
Volvo;XC90 T6 Momentum 7 Passenger;2020
Hyundai;Palisade Limited;2021
BMW;330 i;2021
Honda;Passport EX-L;2019
Ford;Focus SE;2009
Mercedes-Benz;E-Class E 300;2018
BMW;X5 xDrive35i;2018
Toyota;Highlander Hybrid Platinum;2020
Jeep;Gladiator Rubicon;2020
Jaguar;F-PACE 25t Prestige;2020
Honda;HR-V Sport;2019
Mercedes-Benz;AMG GLE 43 Coupe 4MATIC;2019
BMW;X3 xDrive30i;2021
Acura;MDX 3.5L w/Technology Package;2017
BMW;328d xDrive;2018
Mazda;CX-9 Signature;2020
Lexus;ES 350 F Sport;2021
Kia;Forte S;2018
GMC;Sierra 1500 SLT;2014
GMC;Terrain SLT;2019
Toyota;RAV4 Hybrid Limited;2017
Dodge;Charger SXT;2019
BMW;335 335i;2008
Jaguar;F-PACE SVR;2020
BMW;750 Li;2007
Toyota;Highlander XLE;2019
Ford;Edge Titanium;2017
Hyundai;Santa Fe SE Ultimate;2017
GMC;Acadia Denali;2017
Mercedes-Benz;E-Class E 350 4MATIC;2016
Chevrolet;Traverse LT Cloth;2020
BMW;X5 xDrive50i;2015
Honda;CR-V EX;2005
Audi;S4 3.0T Premium Plus;2014
Lincoln;MKX Select;2018
Kia;Optima S;2018
Mercedes-Benz;GLB 250 Base 4MATIC;2020
Jeep;Grand Cherokee Limited;2021
Toyota;Camry SE;2020
GMC;Acadia Denali;2019
Lexus;RX 350 Base;2019
Mercedes-Benz;GLE 350 Base;2017
Mazda;CX-5 Grand Touring;2020
Volkswagen;Tiguan 2.0T SEL Premium R-Line;2021
Land;Rover Range Rover 5.0L Supercharged Autobiography;2014
Land;Rover Range Rover 3.0L Supercharged HSE;2015
Lexus;RX 350 F SPORT Appearance;2021
Volvo;XC60 T6 Inscription;2019
Ford;Escape Titanium;2015
Porsche;Macan Base;2020
Lexus;GS 350 F Sport;2018
Tesla;Model 3 Long Range;2021
Volvo;XC60 T5 Momentum;2018
Lexus;GX 460 Base;2019
Lexus;NX 200t F Sport;2017
Lexus;RX 450h 450H;2018
Lexus;ES 350 Base;2012
Honda;CR-V EX-L;2020
Subaru;Outback 3.6R Limited;2019
Ford;Fusion Titanium;2020
Toyota;Tundra 1794;2017
BMW;X5 xDrive40i;2021
Hyundai;Santa Fe XL Limited Ultimate;2019
Nissan;Titan PRO-4X;2021
Lexus;RX 350 Base;2015
BMW;X7 xDrive40i;2021
Lexus;RX 350 Base;2013
BMW;X4 xDrive30i;2019
Toyota;RAV4 XLE Premium;2021
Ford;Escape Titanium;2019
Hyundai;Tucson Limited;2022
Jeep;Wrangler Unlimited Sahara;2020
Audi;Q7 3.0T Prestige;2017
Genesis;GV70 3.5T Sport;2022
Cadillac;Escalade Luxury;2017
Toyota;Camry XSE;2020
GMC;Acadia Denali;2020
BMW;740 i;2016
Buick;Envision Essence;2020
Hyundai;Palisade Calligraphy;2021
Acura;MDX 3.5L AcuraWatch Plus Package;2016
Ford;Escape SEL;2020
Ford;Fusion SEL;2020
Honda;CR-V LX;2019
Honda;Accord EX-L;2017
Kia;Sorento LX;2019
Jeep;Grand Cherokee Limited;2020
Nissan;Murano SL;2020
GMC;Acadia SLT-1;2019
Audi;Q5 2.0T Tech Premium;2018
Cadillac;CTS 2.0L Turbo Luxury;2019
Honda;CR-V Touring;2019
BMW;M550 M550i xDrive;2018
Mercedes-Benz;CLS-Class CLS 63 AMG S-Model 4MATIC;2014
Kia;Seltos S;2021
Chrysler;Pacifica Touring-L;2020
Acura;TLX V6 Tech;2015
Chrysler;Aspen Limited;2008
BMW;X1 xDrive28i;2019
BMW;X7 xDrive40i;2019
Kia;Sorento EX;2019
Lexus;GS 350 F Sport;2020
Toyota;4Runner TRD Pro;2019
Mercedes-Benz;GLB 250 Base 4MATIC;2022
BMW;330 i xDrive;2018
Toyota;RAV4 LE;2014
Subaru;Outback 2.5i Premium;2016
Lexus;RX 350 F Sport;2019
Ford;Explorer XLT;2019
Audi;Q7 3.0T Premium Plus;2017
Mazda;CX-5 Grand Touring;2017
Cadillac;CTS 3.6L Luxury;2019
Lexus;IS 300 IS 300 F SPORT;2019
Chrysler;200 Limited;2015
Ford;Explorer Limited;2020
Jeep;Grand Cherokee Summit;2020
Acura;RDX Technology Package;2021
Mercedes-Benz;A-Class A 220 4MATIC;2019
Cadillac;CT6 3.0L Twin Turbo Luxury;2016
Mercedes-Benz;E-Class E 350 4MATIC;2021
Toyota;Prius LE;2020
Cadillac;XT6 Premium Luxury FWD;2021
Cadillac;XT5 Sport;2020
Toyota;4Runner Limited;2020
GMC;Acadia SLT;2020
Toyota;Highlander LE Plus;2019
BMW;M550 i xDrive;2018
RAM;1500 Limited;2020
Cadillac;XT5 Luxury;2018
Mercedes-Benz;G-Class G 550;2014
Cadillac;XTS Luxury;2018
Nissan;Altima 2.5 SL;2019
BMW;435 i xDrive;2014
Porsche;Cayenne GTS;2016
BMW;X1 xDrive 28i;2016
Land;Rover Range Rover Evoque SE Premium;2019
Land;Rover Range Rover HSE;2020
Mercedes-Benz;CLA 250 Base;2020
Ford;Expedition Limited;2020
Acura;RDX Technology Package;2019
RAM;1500 Limited;2019
Nissan;Armada Platinum;2017
Tesla;Model X 70D;2016
Mercedes-Benz;AMG E 53 Base 4MATIC;2019
Kia;Sorento LX V6;2020
Lincoln;MKZ Reserve;2020
INFINITI;QX60 Luxe;2020
Acura;RDX A-Spec;2020
BMW;540 i;2019
Lexus;GX 460 Base;2015
Honda;Pilot EX-L;2020
Land;Rover Range Rover Evoque S;2020
Nissan;Titan PRO-4X;2020
Ford;Explorer XLT;2020
Ford;F-150 Lariat;2017
Subaru;Outback 2.5i Premium;2017
Ford;Flex Limited;2012
Mercedes-Benz;AMG C 43 Base 4MATIC;2020
INFINITI;QX80;2017
Nissan;Sentra S;2019
Lexus;NX 200t F Sport;2016
Jaguar;XK;2007
Toyota;Corolla LE;2020
Mercedes-Benz;GLS 450 GLS 450;2018
RAM;1500 Rebel;2021
Hyundai;Santa Fe Limited 2.4;2020
Lexus;GS 350 Base;2016
Mercedes-Benz;M-Class ML 350;2015
Mercedes-Benz;AMG C 63 Base;2018
Chevrolet;Suburban LT;2018
GMC;Acadia SLE;2020
Alfa;Romeo Giulia Base;2020
Porsche;Cayenne Base;2020
Audi;e-tron Prestige;2019
Chevrolet;Impala LS;2013
Acura;MDX 3.5L;2019
Acura;MDX 3.5L w/Advance Package;2019
BMW;M4 Base;2015
Audi;R8 4.2;2015
Honda;Pilot EX-L w/Navigation/RES;2019
Acura;RDX Base (A10);2019
BMW;X5 xDrive50i;2019
Hyundai;Santa Fe SE 2.4;2019
Mercedes-Benz;GLA 250 Base 4MATIC;2019
Lexus;RX 350;2017
Jaguar;F-TYPE R;2017
Porsche;Panamera 4;2013
INFINITI;QX80 PREMIUM SELECT;2021
Tesla;Model Y Performance;2020
Volvo;XC90 T5 Momentum;2019
Lincoln;MKC Reserve;2019
Mercedes-Benz;A-Class A 220;2019
Toyota;Highlander XLE;2021
Lexus;ES 350 F Sport;2019
Ford;Expedition XLT;2020
Ford;Explorer Base;2019
Buick;LaCrosse CXS;2011
Mercedes-Benz;S-Class S430;2001
Honda;Pilot EX;2019
Lexus;LS 500 Base;2018
Toyota;Sienna XLE;2022
Audi;Q8 3.0T Prestige;2019
Cadillac;Escalade ESV Premium;2012
Kia;Telluride S;2020
Lincoln;Nautilus Reserve;2020
Buick;Encore Essence;2019
Chevrolet;Corvette Stingray w/2LT;2021
Jeep;Grand Cherokee Trailhawk;2021
Mercedes-Benz;CLA 250 CLA 250;2019
Acura;TLX V6;2018
Volkswagen;Tiguan 2.0T SE;2020
Land;Rover Range Rover Sport 5.0L Supercharged SVR;2017
Land;Rover Range Rover Sport Autobiography;2019
Mercedes-Benz;GLC 300 4MATIC Coupe;2020
Lexus;NX 300;2020
Ford;Ranger Lariat;2020
BMW;X1 xDrive28i;2021
Acura;TLX A-Spec;2021
Hyundai;Veloster Turbo;2014
Ford;Mustang GT Premium;2015
Cadillac;XT6 Premium Luxury AWD;2020
Subaru;Forester Touring;2019
BMW;340 i xDrive;2016
Subaru;Outback Limited XT;2021
Jeep;Wrangler Unlimited Sport;2021
Mercedes-Benz;SLK-Class SLK 250;2015
RAM;1500 Limited;2021
Toyota;Tacoma TRD Off Road;2020
Subaru;Outback 2.5i Limited;2017
Audi;A6 2.0T quattro Sport;2018
Toyota;Tundra SR5;2021
Acura;RDX Base;2016
Nissan;Rogue SV;2021
Jeep;Grand Cherokee Laredo;2016
Jaguar;F-PACE 35t R-Sport;2017
Nissan;Rogue SL;2019
Mazda;Mazda3 i Sport;2010
Ford;Expedition EL Limited;2017
Kia;Forte LX;2017
Jeep;Wrangler Unlimited Rubicon;2016
BMW;X6 xDrive35i;2019
Mazda;CX-5 Touring;2019
Acura;RDX A-Spec;2019
Ford;Explorer Limited;2018
Chevrolet;Silverado 2500 LTZ H/D Crew Cab;2008
Nissan;Murano SL;2017
